,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
32344,32344,Spain,"Tropical fruit, passion fruit and lime aromas are a bit sweaty and suggestive of pine resin. This is low on spine and verve, meaning it's a touch flat and flabby. Briny nectarine and tarragon flavors finish with green notes of scallion and lime.",,85,15.0,Northern Spain,Rueda,,Verdejo,Emina
32348,32348,Spain,"This was aged but three months in oak, but it smells and tastes woody. Char, resin and toasty blackberry and black plum aromas lead into a resiny palate with charred flavors of black cherry and plum. Burnt, bitter notes rise up on the finish.",3 Meses en Barrica,85,12.0,Levante,Jumilla,,Monastrell,Nacido del Quórum
32353,32353,Spain,"Stalky, mulchy aromas of compost and underripe fruit are a low point on this otherwise decent high-end Rioja from a poor vintage. Hard and grating across the palate, this tastes stalky, burnt and raw, with oak for cover.",Reserva,85,36.0,Northern Spain,Rioja,,Tempranillo,Valenciso
32355,32355,Spain,"Raspberry and red-plum aromas are light and generic. This feels a touch rough and rubbery, with acidity that stands out. Plum and berry flavors taste rustic and burnt, while the finish is fresh but rugged.",Canchales Vino Joven,85,11.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Riojanas
32360,32360,Spain,"Simple aromas of apple cider come with a hint of match stick and brine. This feels round and fleshy, like an unfiltered apple cider. Flavors of generic citrus and apple juice finish pulpy and round. Drink now.",,85,9.0,Spain Other,Spain,,Verdejo,Arrumaco
32361,32361,Spain,"Chunky aromas of apple cider, pineapple, pine and juniper are challenging. This feels juicy, with sharp acidity. Nectarine is the lead flavor, while apple and pithy bitterness push the finish.",Xión,85,20.0,Galicia,Rías Baixas,,Albariño,Attis
32369,32369,Spain,"Leathery, horsey lead aromas include hints of licorice, baked plum and green herbs. This Garnacha has a saucy, tomatoey feel and leafy red-berry flavors that finish with a hint of sweet caramel and herbal overtones.",Aldeya,85,11.0,Northern Spain,Cariñena,,Garnacha,Pago Aylés
32419,32419,Spain,"Talk about a composed wine; this opens with pure, subtle scents of raspberry, cherry and licorice. Next up is a young but clean palate housing choppy, bright acidity. Wild berry, herb and carob flavors finish with breadth and grab; drink this varietal Monastrell through 2020.",Uno,91,48.0,Levante,Valencia,,Monastrell,Rafael Cambra
32423,32423,Spain,"Leathery cherry and plum aromas offer a hint of tobacco as well as a burnt, roasted note. This is healthy in feel, with lively, snappy acidity. Flavors of herbs, vanilla, tomato, tobacco and red currant finish wiry and high-toned, with moderate tartness and plenty of length. Drink through 2023.",Gran Reserva Tempranillo-Graciano,91,46.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Ontañón
32498,32498,Spain,"Dusty berry aromas come with hints of lemon peel and sawdust. For the most part, this is a nice but basic wine with a forward outlook. Juicy flavors of raspberry and plum are backed by a loamy, slightly over- ripe tasting finish.",Crianza,87,14.0,Northern Spain,Rioja,,Tempranillo,Lágrimas de Maria
32499,32499,Spain,"Early aromas of wet cement and rubber transition to leafy, herbal and mildly green. This feels tight, drawing and unforgiving. Flavors of leafy, roasted plum and berry are slightly stalky, while the finish is juicy in feel and herbal in flavor.",Hado,87,21.0,Northern Spain,Rioja,,Red Blend,Pujanza
32509,32509,Spain,"This is golden-tan in color. The nose is gaseous and smells of ham and yeast. The palate is distinctly foamy, while flavors of briny apple finish mild yet heavy.",Blanca Cusine Gran Reserva Brut Nature,87,40.0,Catalonia,Cava,,Sparkling Blend,Parés Baltà
32561,32561,Spain,"Leesy white fruit aromas open this blend of 80% Albariño with Loureiro and Treixadura. In the mouth, it's all citric acidity and stoniness. The body doesn't register. Flavors of blood orange and lemon are also minerally, while the finish is persistently linear.",O Rosal Davila,88,20.0,Galicia,Rías Baixas,,White Blend,Valmiñor
32564,32564,Spain,"Ripe rustic woody aromas of berry fruits and cedar introduce a raw rugged drawing palate with oaky baked lightly medicinal flavors of candied berry fruits. Grabby tannins, heat and spicy flavors push the finish on this firmly structured Garnacha. Drink through 2018.",Particular Viñas Centenarias,88,30.0,Northern Spain,Cariñena,,Garnacha,Bodegas San Valero
32567,32567,Spain,"Despite opening with a yellow color and waxy oily peach aromas, this benefits from zesty lemon-like acidity. Flavors of quince and apple are oaky, while effusive acidity keeps this Verdejo fresh on the finish, which is otherwise big and full. Drink now.",Parcela 52,88,20.0,Central Spain,Vino de la Tierra de Castilla,,Verdejo,Finca Constancia
32569,32569,Spain,"Leathery stalky berry aromas come across as being baked and rough. This is full and grabby on the palate with cooked blackberry and prune flavors that end dark, and spicy with notes of licorice and herbs.",,88,23.0,Catalonia,Priorat,,Red Blend,Los 800
32638,32638,Spain,"Strawberry, cherry and generic red-fruit aromas lead a standard, healthy feeling palate. This wet, fresh but simple rosé offers peach, raspberry and slightly bitter finishing flavors.",Vivanco Tempranillo-Garnacha,86,14.0,Northern Spain,Rioja,,Rosé,Dinastía Vivanco
32670,32670,Spain,"This opens with an aromatic note of wet dog along with wild berry and plum. The palate is spunky, jumpy and lively, while flavors of plum, raspberry and berry skins finish short and simple.",,85,13.0,Northern Spain,Calatayud,,Garnacha,Acentor
32671,32671,Spain,"Prune and raisin aromas are dominant and suggest overripeness. Following that lead, this is chunky and heavy on the palate, with pounding tannins. Baked blackberry, prune and savory flavors finish long and dense.",Ballad,85,18.0,Northern Spain,Cariñena,,Garnacha,Ignacio Marín
32678,32678,Spain,"Generic peach and apple aromas are light and easy. This blend of Merseguera and Macabeo feels pulpy and citrusy, while pithy flavors of peach and orange finish fresh, but with limited complexity.",Alcanta,85,10.0,Levante,Alicante,,White Blend,Bocopa
32685,32685,Spain,"Earthy blackberry flavors include carob and herbal accents. This is drawing and high in acidity, while earthy, herbal flavors of raspberry and plum are a bit green. Charred oak, clove and leafy berry flavors take over on the finish.",Selección Especial,85,12.0,Northern Spain,Calatayud,,Garnacha,Cruz de Piedra
32693,32693,Spain,"Aromas of tire rubber, graphite and wet cement are oak-driven and overshadow wine's berry components. A tannic, resiny palate is expected, given the nose. Heavy oak overshadows black-plum flavors, while the finish is oaky, minty and a touch green.",Agnvs de Autor,84,18.0,Northern Spain,Rioja,,Tempranillo Blend,Valdelana
32724,32724,Spain,"Jammy black plum aromas are savory, leathery and funky, with rusticity. This feels stout and chunky, while condensed flavors of fig and prune are fully ripe. A savory but mild finish is round but missing some structural support. Drink now through 2018.",Vinyes Velles,88,25.0,Catalonia,Priorat,,Red Blend,Tosalet
32756,32756,Spain,"Stalky, slightly green aromas blend with generic berry scents to form a marginal bouquet. This is tannic and rough on the palate, with buttery oak flavors along with candied berry fruit notes.",Rojo Granrojo,82,11.0,Central Spain,Vino de la Tierra de Castilla,,Tempranillo-Garnacha,Bodegas Navarro López
32829,32829,Spain,"Waxy apple and melon aromas are basic but fresh. A plump and melony mouthfeel offers enough acidity to lift up flavors of honeydew, papaya and green banana. A round, regular feeling finish is clean and cleansing.",Conde de Valdemar,86,10.0,Northern Spain,Rioja,,Viura,Bodegas Valdemar
32841,32841,Spain,"This is big and fruity on the nose, but there's also a stalky, roasted quality to the bouquet. This feels round, grabby and on the soft side, while mulchy flavors of rubber and blueberry hollow out quickly on the finish.",Roble,86,18.0,Northern Spain,Ribera del Duero,,Tempranillo,Torrederos
32893,32893,Spain,"This smells a bit stalky, leathery and warm at first, but airing brings it along. While it's never all that vivid on the nose, it does smell of baked berry and plum. It feels wide and neither tannic nor tough, with lightly herbal, rustic flavors of plum and berry.",Dama de Toro,85,11.0,Northern Spain,Toro,,Tempranillo,Bodegas Fariña
32902,32902,Spain,"Clean, dry and light on the nose, this has a smoky, leafy accent. While it's not superlively on the palate, it offers nice grapefruit, cherry and nectarine flavors, with a dry, smoky and tasty finish.",Brut Rosé,85,10.0,Catalonia,Cava,,Sparkling Blend,Segura Viudas
32907,32907,Spain,"At first the nose is high toned and jumpy, but with time it falls into a good place with a medicinal berry note at the fore. Solid, tannic and nervy, it has plum and noticeable young-oak flavors. This turns herbal tasting and choppy on the finish.",Joven,85,11.0,Northern Spain,Ribera del Duero,,Tempranillo,Martín Berdugo
32949,32949,Spain,"Ripe berry, mild raisin and overall clarity define the bouquet. This offers a full, complete mouthfeel, with structure and layers of roasted berry, spice and integrated herb. It's sturdy and long on the satisfying finish.",Crianza,89,13.0,Northern Spain,Rioja,,Tempranillo Blend,Burgo Viejo
32960,32960,Spain,"Solid cherry and berry aromas are smooth and appealing, while a spot of pinched leather adds character to the nose. This feels tight and good, with racy acidity leading a red plum flavor to a dry, tight finish. Nice in a no-nonsense way.",Crianza,89,,Northern Spain,Ribera del Duero,,Tempranillo,Viña Mayor
32969,32969,Spain,"Tobacco and clove aromas ride high on the mildly leafy bouquet. It feels round, juicy, tannic and tight, with mature berry, spice, earth and leather flavors. It remains earthy and mature on the finish, which fades to a blackened, spicy expression with notes of tomato and spice.",Gran Reserva Tempranillo-Graciano,89,36.0,Northern Spain,Rioja,,Red Blend,Bodegas Ontañón
32970,32970,Spain,"Like most barrel-fermented Viuras from Rioja, this smells oaky but low on fruit. Round and resiny on the palate, this tastes mostly of saucy oak and briny citrus. The finish is sound in feel but challenging in flavor.",Conde Valdemar,84,18.0,Northern Spain,Rioja,,Viura,Bodegas Valdemar
32986,32986,Spain,"Heavily roasted, leathery, earthy aromas slightly override the fruit tones. This has a grabby, tannic palate and burnt, herbal, earthy black-fruit flavors. Saltiness and blackened notes are to be found on a clampy finish.",Dolmo,84,10.0,Northern Spain,Ribera del Duero,,Tempranillo,Vicente Gandia
32993,32993,Spain,"Peach and melon aromas are simple and clean. This has a wide but diluted mouthfeel and no real sense of direction. Citrus and white pineapple flavors are mild and limited, while the finish offers a touch of nectarine before fading out.",,84,15.0,Northern Spain,Rioja,,Viura,Conde Bel
32996,32996,Spain,"This is a spunky, jumpy Tempranillo with horsey aromas of cherry and plum. A light, fresh palate delivers lightly herbal flavors of plum and pie cherry, with an earthy twist. Mild and hollow on the finish.",White Label,84,8.0,Northern Spain,Rioja,,Tempranillo,Faustino Rivero Ulecia
32999,32999,Spain,"Earthy, grassy, cherry aromas are lightly medicinal in front of a slightly narrow, almost citric palate that comes with a note of vinegar. Black-plum flavors are simple on the midpalate, while modest notes of plum and berry show on the finish.",Angelitos Negros,84,10.0,Northern Spain,Toro,,Tinta de Toro,La Casa Maguila
33002,33002,Spain,"Jammy black plum aromas are savory, leathery and funky, with rusticity. This feels stout and chunky, while condensed flavors of fig and prune are fully ripe. A savory but mild finish is round but missing some structural support. Drink now through 2018.",Vinyes Velles,88,25.0,Catalonia,Priorat,,Red Blend,Tosalet
33034,33034,Spain,"This is dark but somewhat green on the nose, with currant, raspberry, beet and green herb aromas. The palate feels tight to the point of abrasive, with herbal plum flavors. A minty, forceful finish registers as hard and tannic.",,82,10.0,Spain Other,Spain,,Garnacha,Real Compañia de Vinos
